DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Afton Dam,MI01509,Macomb,Not Required,
Chestnut Lake Dam,MI01510,Macomb,Not Required,
Cory Lake Dam,MI01511,Macomb,Not Required,
Ford Motor Company Drain Dam,MI01512,Macomb,Not Required,
Mill Creek Dam,MI01513,Cheboygan,Yes,12-Jan-12
Andries Dam,MI01514,Macomb,Not Required,
Plum Brook Golf Course Dam,MI01515,Macomb,Not Required,
Benton Dam,MI01516,Manistee,Not Required,
Easterling Dam,MI01517,Manistee,Not Required,
Peters Bayou Dam,MI01518,Manistee,Not Required,
Manistee Sport & Fishing Club Dam #4,MI01519,Manistee,Not Required,
Mavraganis Dam,MI01520,Manistee,Not Required,
Bear Lake Dam,MI01521,Houghton,Not Required,
Dead Creek Dam,MI01522,Iosco,Not Required,
Niematalo's Dam,MI01523,Manistee,Not Required,
Prunski Dam,MI01524,Manistee,Not Required,
Gannon Dam,MI01525,Marquette,Not Required,
Hollick's Dam,MI01526,Marquette,Not Required,
Huron Mountain Club Pine Lake Dam,MI01527,Marquette,Not Required,
Huron Mountain Club Lower Dam,MI01528,Marquette,Not Required,
Jensen's Dam,MI01529,Marquette,Not Required,
La Londe's Dam,MI01530,Marquette,Not Required,
Linjala Dam,MI01531,Marquette,Not Required,
Marquette Fish Hatchery Dam,MI01532,Marquette,Not Required,
Morgan Pond Dam,MI01533,Marquette,Not Required,
Osterberge Dam,MI01534,Marquette,Not Required,
Peterson's Dam,MI01535,Marquette,Not Required,
Usher's Dam,MI01536,Marquette,Not Required,
Varvil Dam,MI01537,Marquette,Not Required,
Winkelbaur Dam,MI01538,Marquette,Not Required,
Hall Dam,MI01539,Mason,Not Required,
West Riverton Cemetary Dam,MI01540,Mason,Not Required,
Blue Lake Level Control Structure,MI01541,Mecosta,Not Required,
Chippewa Lake Level Control Structure,MI01542,Mecosta,Not Required,
General Growth Dam,MI01543,Grand Traverse,Not Required,
Ebels Dam,MI01544,Mecosta,Not Required,
Jehnsen Lake Dam,MI01545,Mecosta,Not Required,
Mason Dam,MI01546,Mecosta,Not Required,
Millbrook Dam,MI01547,Mecosta,Not Required,
Acker Dam,MI01548,Mecosta,Not Required,
Phillips Dam,MI01549,Mecosta,Not Required,
Tornbloom Dam,MI01550,Mecosta,Not Required,
Little Cedar River Dam-A,MI01551,Menominee,Not Required,
Little Cedar River Dam-B,MI01552,Menominee,Not Required,
Little Cedar River Dam-C,MI01553,Menominee,Not Required,
Little Cedar River Dam-D,MI01554,Menominee,Not Required,
Machalk Dam,MI01555,Menominee,Not Required,
Beaver Dam,MI01556,Calhoun,Not Required,
Majkrzak Dam,MI01557,Menominee,Not Required,
Peterson Pond Dam,MI01558,Menominee,Not Required,
Powers Dam,MI01559,Menominee,Not Required,
Dow Dam,MI01561,Midland,Not Required,
Gregor Dam,MI01562,Midland,Not Required,
Cannon Creek #2 Flooding Dam,MI01563,Missaukee,Not Required,
Deadhorse Flooding Dam,MI01564,Missaukee,Not Required,
Michigan State University Dam #1,MI01565,Missaukee,Not Required,
Michigan State University Dam #2,MI01566,Missaukee,Not Required,
Missaukee Walleye Rearing Pond Dam,MI01567,Missaukee,Not Required,
Lester Dam,MI01568,Missaukee,Not Required,
Hamm Creek Dam,MI01569,Missaukee,Not Required,
Ellis Dam,MI01570,Missaukee,Not Required,
Kelinski Dam,MI01571,Missaukee,Not Required,
Turtle Lake Fish Slats Dam,MI01572,Montmorency,Not Required,
Murciak Dam,MI01573,Monroe,Not Required,
Enness Dam,MI01575,Montcalm,Not Required,
Horton Creek Dam,MI01576,Charlevoix,Not Required,
Manoka Lake Dam,MI01577,Montcalm,Not Required,
Wellman Dam,MI01578,Montcalm,Not Required,
Burr Park Dam,MI01580,Lenawee,Not Required,
Mc Nulty Dam,MI01581,Sanilac,Not Required,
Klaus Dam,MI01582,Sanilac,Not Required,
Lee Dam,MI01583,Sanilac,Not Required,
Stevens Lake Dam,MI01584,Montcalm,Not Required,
Archer Dam,MI01585,Montcalm,Not Required,
Jenkins Dam,MI01586,Missaukee,Not Required,
Twin Lakes Dam,MI01587,Lapeer,Not Required,
Vomastek Dam,MI01588,Missaukee,Not Required,
Peterson's Dam,MI01589,Branch,Not Required,
Rainbow Pond Dam,MI01590,Alger,Not Required,
Paradise Lake Dam,MI01591,Emmet,Not Required,
Crooked Lake Dam,MI01592,Emmet,Not Required,
Kawkawlin River Walleye Pond Dam,MI01593,Bay,Not Required,
Meylan Dam,MI01594,Bay,Not Required,
Redman Walker Club Dam,MI01595,Alcona,Not Required,
Guaresino Dam,MI01596,Alcona,Not Required,
Holton Dam,MI01597,Jackson,Not Required,
Little Brush Lake Dam,MI01598,Montmorency,Not Required,
Hoffman Dam,MI01599,Gladwin,Not Required,
Krahner Pond Dam,MI01600,Gladwin,Not Required,
Molasses River Flooding #5 Dam,MI01601,Gladwin,Not Required,
Winter Creek Dam,MI01602,Mecosta,Not Required,
Squaw Lake Fish Barrier Dam,MI01603,Marquette,Not Required,
Johnson Dam,MI01604,Gogebic,Not Required,
Lac Vieux Desert Dam,MI01605,Gogebic,Not Required,
Mud Creek Dam,MI01606,Gogebic,Not Required,
Novasconi Dam #1,MI01607,Gogebic,Not Required,
Strand Dam,MI01609,Gogebic,Not Required,
Sunday Lake Dam,MI01610,Gogebic,Not Required,
Trout Brook Diversion Dam,MI01611,Gogebic,Not Required,
Bartz Dam,MI01612,Grand Traverse,Not Required,
Berzinski Dam,MI01613,Grand Traverse,Not Required,
Bolling Dam,MI01614,Grand Traverse,Not Required,
Gerhard Dam,MI01615,Grand Traverse,Not Required,
Bradford Dam,MI01616,Grand Traverse,Not Required,
Brookside Pond Dam,MI01617,Grand Traverse,Not Required,
Fred Dam,MI01618,Grand Traverse,Not Required,
Murchie Dam,MI01619,Grand Traverse,Not Required,
Shinanguag Lake Dam,MI01620,Genesee,Not Required,
Oleson Dam,MI01621,Grand Traverse,Not Required,
Springville Dam,MI01622,Lenawee,Not Required,
Walton Dam,MI01624,Grand Traverse,Not Required,
Gratiot-Saginaw SGA Impoundment #1 Dam,MI01625,Gratiot,Not Required,
Gratiot Saginaw SGA Impoundment #2 Dam,MI01626,Gratiot,Not Required,
Perrington Dam,MI01629,Gratiot,Not Required,
Shook Dam,MI01630,Gratiot,Not Required,
Muskrat Farm Flooding Dam,MI01631,Barry,Not Required,
Litchfield Dam,MI01632,Hillsdale,Not Required,
Lower Hiawatha Lake Dam,MI01633,Montmorency,Not Required,
Hemlock Carpenter and Long Lake Dam,MI01634,Hillsdale,Not Required,
Hillsdale College Dam,MI01635,Hillsdale,Not Required,
Lewis Emery County Park Pond #2 Dam,MI01636,Hillsdale,Not Required,
Lewis Emery County Park Pond #3 Dam,MI01637,Hillsdale,Not Required,
Lewis Emery County Park Pond #4 Dam,MI01638,Hillsdale,Not Required,
Lewis Emery County Park Pond #5 Dam,MI01639,Hillsdale,Not Required,
Lewis Emery County Park Pond #6 Dam,MI01640,Hillsdale,Not Required,
Schilling Dam,MI01641,Hillsdale,Not Required,
Curtiss Park Dam,MI01642,Washtenaw,Not Required,
Chassell Sportsmen Dam,MI01643,Houghton,Not Required,
Elm River Tower Dam,MI01644,Houghton,Not Required,
Folk Dam,MI01645,Houghton,Not Required,
Harter Dam,MI01646,Houghton,Not Required,
Jarvi Dam,MI01647,Houghton,Not Required,
No Name,MI01648,Muskegon,Not Required,
No Name,MI01649,Muskegon,Not Required,
Bear Creek Dam,MI01650,Muskegon,Not Required,
Green Creek Dam,MI01651,Muskegon,Not Required,
No Name,MI01652,Muskegon,Not Required,
North Star Fisheries Dam #1,MI01653,Muskegon,Not Required,
North Star Fisheries Dam #2,MI01654,Muskegon,Not Required,
Patterson Park Dam,MI01655,Muskegon,Not Required,
Evon Dam,MI01656,Ogemaw,Not Required,
Carnes Dam,MI01657,Newaygo,Not Required,
First Lake Dam,MI01658,Newaygo,Not Required,
Harwell Lake Dam,MI01659,Newaygo,Not Required,
Johnson's Dam,MI01660,Newaygo,Not Required,
Bevins Lake Dam,MI01661,Oakland,Not Required,
Buell Road Dam,MI01662,Oakland,Not Required,
Bush Lake Dam,MI01663,Oakland,Not Required,
Cass Lake Control Structures 1 and 2,MI01664,Oakland,Not Required,
Cedar Island Dam,MI01665,Oakland,Not Required,
Cranbrook Lake Dam,MI01667,Oakland,Not Required,
Farmington Venture Detention Pond Dam,MI01669,Oakland,Not Required,
Fenton Dam #1,MI01670,Oakland,Not Required,
Fenton Dam #2,MI01671,Oakland,Not Required,
Fenton Dam #3,MI01672,Oakland,Not Required,
Eggleston Dam,MI01673,Oakland,Not Required,
Heather Lake Dam,MI01674,Oakland,Not Required,
Wau-Me-Gah Lake Dam,MI01675,Oakland,Yes,08-Dec-16
Lake Charnwood Dam,MI01676,Oakland,Not Required,
Lake Genesareth Dam,MI01677,Oakland,Not Required,
Lovett Dam,MI01678,Oakland,Not Required,
Lower Hatchery Dams,MI01679,Oakland,Not Required,
Manito Lake Dam,MI01680,Oakland,Not Required,
McGinnis Lake Dam,MI01681,Oakland,Not Required,
Meadowbrook Retention Dam,MI01682,Oakland,Not Required,
Meadowglen Sub Storm Ret Pond Dam,MI01683,Oakland,Not Required,
Meadowhills Est Retention Pond North,MI01684,Oakland,Not Required,
Meadowhills Estates Retention Pond South,MI01685,Oakland,Not Required,
Meadow Lake Dam,MI01686,Oakland,Not Required,
Little Black Lake Dam,MI01687,Muskegon,Not Required,
Bush & Turtle Lakes,MI01688,Ogemaw,Not Required,
Franklin Drain Dam,MI01689,Oakland,Not Required,
Stony Creek Dam,MI01690,Oakland,Not Required,
River Rouge Dam #1,MI01691,Oakland,Not Required,
River Rouge Dam #2,MI01692,Oakland,Not Required,
Baldwin Pond Dam,MI01693,Oakland,Not Required,
Cranbrook Foundation Dam,MI01694,Oakland,Not Required,
Franklin Drain Dam,MI01695,Oakland,Not Required,
Franklin Drain #2 Dam,MI01696,Oakland,Not Required,
Northbrook Gardeners Dam,MI01697,Oakland,Not Required,
Northfield Hills Dam,MI01698,Oakland,Not Required,
Old Hamestead,MI01699,Oakland,Not Required,
Paint Creek Cider Mill Dam,MI01700,Oakland,Not Required,
Brock Dam,MI01701,Grand Traverse,Not Required,
Rochester City Park Dam,MI01702,Oakland,Not Required,
Wojtowicz Dam,MI01703,Washtenaw,Not Required,
Hillview Lake Dam,MI01704,Oakland,Not Required,
San Marino Golf Club Dam,MI01705,Oakland,Not Required,
Sashabaw Creek Dam,MI01706,Oakland,Not Required,
Secord Lake Dam,MI01707,Oakland,Not Required,
Sargent Creek Dam,MI01708,Oakland,Not Required,
Shoup Pond,MI01709,Oakland,Not Required,
Lake Araho Dam,MI01710,Oakland,Not Required,
Smith Dam,MI01711,Oakland,Not Required,
Stewart Lake Dam,MI01713,Oakland,Not Required,
Taylor Lake Dam,MI01714,Oakland,Not Required,
Traxler Dam,MI01715,Oakland,Not Required,
Waldon Pond Dam,MI01716,Oakland,Not Required,
Tull Lake Dam,MI01717,Oakland,Not Required,
Woodcreek Hills Dam,MI01718,Oakland,Not Required,
Yates Mill Dam,MI01719,Oakland,Not Required,
Benjamin Dam,MI01720,Ogemaw,Not Required,
Bill Estes Trout Pond Dam #1,MI01721,Ogemaw,Not Required,
Baird Dam,MI01722,Ogemaw,Not Required,
Bunting Brother's Dam,MI01723,Ogemaw,Not Required,
Cahoon Dam,MI01724,Ogemaw,Not Required,
Estes Dam #2,MI01725,Ogemaw,Not Required,
Estes Dam #3,MI01726,Ogemaw,Not Required,
Hagborn Dam,MI01727,Ogemaw,Not Required,
Horgewski Dam,MI01728,Ogemaw,Not Required,
Johnson Lake Dam,MI01729,Ogemaw,Not Required,
Jones Dam,MI01730,Ogemaw,Not Required,
Karcher Dam,MI01731,Ogemaw,Not Required,
Evon Dam,MI01732,Ogemaw,Not Required,
Bogart Dam,MI01734,Ogemaw,Not Required,
Szucs Dam,MI01735,Ogemaw,Not Required,
Chandlers Lake Dam,MI01736,Ogemaw,Not Required,
Wolf Lake Fish Barrier Dam,MI01737,Marquette,Not Required,
Prior Creek Dam,MI01738,Ogemaw,Not Required,
Prior Lake Dam,MI01739,Ogemaw,Not Required,
Rifle Lake Dam,MI01740,Ogemaw,Not Required,
Schumacher Dam #3,MI01741,Ogemaw,Not Required,
Osceola Refining Dam,MI01742,Ogemaw,Not Required,
Van Hemel Dam,MI01743,Ogemaw,Not Required,
Stillwagon Dam,MI01744,Ogemaw,Not Required,
Thorp Dam,MI01745,Ogemaw,Not Required,
Williams Dam,MI01747,Ogemaw,Not Required,
Hulls Dam,MI01748,Oceana,Not Required,
Lake Marie Dam,MI01749,Oceana,Not Required,
Marshville Dam,MI01750,Oceana,Not Required,
Stony Lake Dam,MI01751,Oceana,Not Required,
Thinnes Dam,MI01752,Oceana,Not Required,
Olsen Dam,MI01753,Oceana,Not Required,
Kostlenick Dam,MI01754,Ontonagon,Not Required,
Paulding Creek Dam,MI01755,Ontonagon,Not Required,
Robbins Pond Dam,MI01756,Ontonagon,Not Required,
Trout Creek Dam,MI01757,Ontonagon,Yes,04-Apr-01
Union Spring Dam,MI01758,Ontonagon,Not Required,
Henkin Pond Dam,MI01759,Newaygo,Not Required,
Meyer's Dam,MI01761,Osceola,Not Required,
Hasting Point Rd Fish Pond Dam,MI01762,Barry,Not Required,
Woods Dam,MI01763,Osceola,Not Required,
Arney Dam #1 (Upstream),MI01764,Oscoda,Not Required,
Arney Dam #2 (Middle),MI01765,Oscoda,Not Required,
Arney Dam #3 (Downstream),MI01766,Oscoda,Not Required,
Deeter Dam,MI01767,Oscoda,Not Required,
Demski Dam,MI01768,Oscoda,Not Required,
Hinchman Dam,MI01769,Oscoda,Not Required,
Hunt Creek Dam,MI01770,Oscoda,Not Required,
Shafer Dam,MI01771,Oscoda,Not Required,
Whitmarsh Dam,MI01772,Oscoda,Not Required,
Sherwood Corners Dam,MI01773,Oscoda,Not Required,
Dusty L Ranch Dam,MI01774,Oscoda,Not Required,
Ebert Dam,MI01775,Oscoda,Not Required,
MiNoName #15,MI01776,Oscoda,Not Required,
Pierce's Paradise Dam,MI01777,Oscoda,Not Required,
Kerschenheiter Dam,MI01778,Oscoda,Not Required,
Paulovich Dam,MI01779,Oscoda,Not Required,
Miller Dam,MI01780,Oscoda,Not Required,
Perma Log Co Dam,MI01781,Oscoda,Not Required,
Maier Dam,MI01782,Oscoda,Not Required,
Wise Dam,MI01783,Oscoda,Not Required,
Gusler Creek Lower Dam,MI01784,Oscoda,Not Required,
Gusler Creek Upper Dam,MI01785,Oscoda,Not Required,
Reuel Detweiler (Lower) Dam,MI01786,Oscoda,Not Required,
Spink Dam,MI01788,Van Buren,Not Required,
Troyer Dam,MI01789,Oscoda,Not Required,
Lake Tecon Dam,MI01790,Otsego,Not Required,
Saunders Dam,MI01791,Otsego,Not Required,
Echo Lake Dam,MI01792,Alger,Not Required,
Rogell Dam,MI01793,Otsego,Not Required,
Freel Dam #1,MI01794,Presque Isle,Not Required,
Freel Dam #2,MI01795,Presque Isle,Not Required,
Ramsey Dam,MI01796,Presque Isle,Not Required,
Bear Creek Dam,MI01797,Roscommon,Not Required,
Benmark Club Dam #1,MI01798,Roscommon,Not Required,
Benmark Club Dam #2,MI01799,Roscommon,Not Required,
Benmark Club Dam #3,MI01800,Roscommon,Not Required,
Benmark Club Dam #4,MI01801,Roscommon,Not Required,
Benmark Club Dam #5,MI01802,Roscommon,Not Required,
Benmark Club Dam #6,MI01803,Roscommon,Not Required,
Benmark Club Dam #7,MI01804,Roscommon,Not Required,
Benmark Club Dam #8,MI01805,Roscommon,Not Required,
Blackhurst Dam,MI01806,Roscommon,Not Required,
Dunham Lake Dam,MI01807,Roscommon,Not Required,
Cushoff Dam,MI01808,Roscommon,Not Required,
MiNoName #28 Dam,MI01809,Roscommon,Not Required,
Lake St Helen Lake Level Control,MI01810,Roscommon,Not Required,
Timmeck Dam,MI01811,Roscommon,Not Required,
Wraco Lodge Dam,MI01812,Roscommon,Not Required,
Wyckoff Dam,MI01813,Roscommon,Not Required,
Cole Dam,MI01814,Saginaw,Not Required,
Crow Island Dam,MI01815,Saginaw,Not Required,
Haney Dam,MI01816,Saginaw,Not Required,
Lincoln's Dam,MI01817,Saginaw,Not Required,
Pool Six Dam,MI01818,Saginaw,Not Required,
Shiawassee Flats Dam,MI01819,Saginaw,Not Required,
Wendling Dam,MI01820,Saginaw,Not Required,
Glotfelty Dam,MI01821,Saint Clair,Not Required,
Yale Woolen Mill Dam,MI01822,Saint Clair,Not Required,
St Clair Flats Dikes,MI01823,Saint Clair,Not Required,
Herron Dam,MI01824,Alpena,Not Required,
Cold Springs Mill Dam,MI01825,Saint Joseph,Not Required,
Corey Lake Level Control Structure,MI01826,Saint Joseph,Not Required,
Leonidas Roller Mill Dam,MI01827,Saint Joseph,Not Required,
Leverence Dam,MI01828,Saint Joseph,Not Required,
Plains Creek Dam,MI01831,Arenac,Not Required,
Fletcher Creek Dam,MI01832,Alpena,Not Required,
Parkville Dam,MI01833,Saint Joseph,Not Required,
Perry Dam,MI01834,Saint Joseph,Not Required,
Teeny Tiny Lake Dam,MI01835,Saint Joseph,Not Required,
Muench Dam,MI01837,Sanilac,Not Required,
Indian Creek Dam,MI01838,Sanilac,Not Required,
Pagota Dam,MI01840,Sanilac,Not Required,
Anderson Dam,MI01841,Schoolcraft,Not Required,
Jody Lake Dam,MI01843,Mecosta,Not Required,
Driggs River Diversion Dam,MI01844,Schoolcraft,Not Required,
East Branch Ore Creek Dam,MI01845,Schoolcraft,Not Required,
Harvey Quick Trout Pond Dam,MI01846,Schoolcraft,Not Required,
Herb Musselman Dam,MI01847,Schoolcraft,Not Required,
Kings Pond Dam,MI01848,Schoolcraft,Not Required,
Little Indian Hunting Club Dam,MI01849,Schoolcraft,Not Required,
Quarry Pond Dam,MI01850,Schoolcraft,Not Required,
Rhodes Dam,MI01851,Schoolcraft,Not Required,
Steuben Lake Pike Marsh Dam,MI01853,Schoolcraft,Not Required,
Thompson Creek Dam,MI01854,Schoolcraft,Not Required,
Hospital Dam,MI01855,Shiawassee,Not Required,
Oliver St Dam,MI01856,Shiawassee,Not Required,
Owosso Dam,MI01857,Shiawassee,Not Required,
Friday Flooding,MI01858,Delta,Not Required,
Fish Point Pond C Dam,MI01859,Tuscola,Not Required,
Fish Point Pond B Dam,MI01860,Tuscola,Not Required,
Old Muskrat Farm Dam,MI01861,Tuscola,Not Required,
Adams Dam,MI01862,Van Buren,Not Required,
Almena Hatchery Dam #1,MI01863,Van Buren,Not Required,
Blocker's Pond Dam,MI01864,Van Buren,Not Required,
Chaput Dam,MI01865,Alpena,Not Required,
Paw Paw Lumber Co Dam,MI01866,Van Buren,Not Required,
Crooked Lake Dam,MI01867,Washtenaw,Not Required,
Deppmann Dam,MI01868,Washtenaw,Not Required,
Ella Lee Lake Dam,MI01869,Washtenaw,Not Required,
Geddes Lake Sub Lower Dam,MI01870,Washtenaw,Not Required,
Geddes Lake Sub Upper Dam,MI01871,Washtenaw,Not Required,
Geddes Ridge Storm Water Retention Dam,MI01872,Washtenaw,Not Required,
Henes Dam,MI01873,Washtenaw,Not Required,
Clark Dam,MI01874,Washtenaw,Not Required,
Baker Dam,MI01875,Washtenaw,Not Required,
Sylvan Trout Pond Dam,MI01876,Washtenaw,Not Required,
Wiltse Dam,MI01877,Washtenaw,Not Required,
Dunn-Rovin Golf Course Dam,MI01878,Wayne,Not Required,
Glen Eden Cemetary Dam,MI01880,Wayne,Not Required,
Griggs Drain Dam,MI01881,Wayne,Not Required,
Meads Mill Dam,MI01882,Wayne,Not Required,
Willow Creek Dam,MI01883,Wayne,Not Required,
McBride Drain Dam,MI01884,Wayne,Not Required,
Lake Success Dam,MI01885,Wayne,Not Required,
Lower Willow Run Dam,MI01886,Wayne,Not Required,
Lower Pond Dam,MI01887,Wayne,Not Required,
Upper Pond Dam,MI01888,Wayne,Not Required,
N Beacon Hills Storm Retention Dam,MI01889,Wayne,Not Required,
Northville Impounding Basin Dam,MI01890,Wayne,Not Required,
Northville Yerkes Pond Dam,MI01891,Wayne,Not Required,
Plymouth Township Detention Pond Dam,MI01892,Wayne,Not Required,
Ridgewood Hills Storm Retention Dam,MI01893,Wayne,Not Required,
Susterna Lake Dam,MI01894,Wayne,Not Required,
Brooke Dam,MI01895,Wexford,Not Required,
Carlson Dam No One,MI01896,Wexford,Not Required,
Carlson Dam No Two,MI01897,Wexford,Not Required,
Detroit Metro Wetland Mitigation Dam,MI01898,Wayne,Not Required,
Richards Dam,MI01899,Allegan,Not Required,
Corlett Dam,MI01900,Wexford,Not Required,
Dexter Business & Research Det Dam,MI01901,Washtenaw,Not Required,
Guthrie Dam,MI01902,Wexford,Not Required,
Lower Stamp Dam,MI01903,Cass,Not Required,
Upper Stamp Dam,MI01904,Cass,Not Required,
Jackson Dam,MI01905,Wexford,Not Required,
Kerr Lower Dam,MI01906,Wexford,Not Required,
Kerr Upper Dam,MI01907,Wexford,Not Required,
Korr Dam,MI01908,Wexford,Not Required,
Mitchell Creek Dam,MI01909,Wexford,Not Required,
Forraht Dam,MI01910,Berrien,Not Required,
Parks No One Dam,MI01911,Wexford,Not Required,
Parks No Two Dam,MI01912,Wexford,Not Required,
Taylor Dam,MI01913,Wexford,Not Required,
Baseline Lake Level Control Structure,MI01914,Allegan,Not Required,
Hutchins Lake Dam,MI01915,Allegan,Not Required,
Miner Lake Level Control Structure,MI01916,Allegan,Not Required,
Minkler Lake Dam,MI01917,Allegan,Not Required,
Osterhout Lake Level Control Structure,MI01918,Allegan,Not Required,
Upper Crystal Lake Dam,MI01919,Barry,Not Required,
Fine Lake Dam,MI01920,Barry,Not Required,
Gun Lake Dam,MI01921,Barry,Not Required,
Jordan Lake Dam,MI01922,Barry,Not Required,
Podunk Lake Dam,MI01923,Barry,Not Required,
Wall Lake Dam,MI01924,Barry,Not Required,
Paw Paw Lake Level Control Structure,MI01925,Berrien,Not Required,
Rowe Lake Level Control Structure,MI01926,Berrien,Not Required,
Coldwater Lake Level Control Structure,MI01927,Branch,Not Required,
Hanchett Lake Level Control Structure,MI00889,Branch,Not Required,
Matteson Lake Level Control Structure,MI01929,Branch,Not Required,
Rose Lake Level Control Structure,MI01930,Branch,Not Required,
Duck Lake Level Control Structure,MI01931,Calhoun,Not Required,
Nottawa Lake Level Control Structure,MI01932,Calhoun,Not Required,
St Marys Lake Level Control Structure,MI01933,Calhoun,Not Required,
Birch Lake Level Control Structure,MI01934,Cass,Not Required,
Eagle Lake Level Control Structure,MI01935,Cass,Not Required,
Finch Lake Level Control Structure,MI01936,Cass,Not Required,
Garver Lake Level Control Structure,MI01937,Cass,Not Required,
Harwood Lake Level Control Structure,MI01938,Cass,Not Required,
Magician Lake Level Control Structure,MI01939,Cass,Not Required,
Deer Lake Level Control Structure,MI01940,Charlevoix,Not Required,
Caribou Lake Level Control Structure,MI01941,Chippewa,Not Required,
Arnold Lake Level Control Structure,MI01942,Clare,Not Required,
Eight Point Lake Level Control Structure,MI01943,Clare,Not Required,
Lake George Level Control Structure,MI01944,Clare,Not Required,
Little Long Lake Level Control Structure,MI01945,Clare,Not Required,
Long Lake Level Control Structure,MI01946,Clare,Not Required,
Shingle Lake Level Control Structure,MI01947,Clare,Not Required,
Narrow Lake Level Control Structure,MI01948,Eaton,Not Required,
Dollar & Little Long Lake Level Control Structure,MI01949,Genesee,Not Required,
Silver & Marl Lake Level Control Structure,MI01950,Genesee,Not Required,
Jelinek Dam,MI01951,Berrien,Not Required,
Duck Lake Level Control Structure,MI01952,Grand Traverse,Not Required,
Buck Creek Pond Level Control Structure,MI01954,Iosco,Not Required,
Long Lake Dam,MI01955,Ionia,Not Required,
Morrison Lake Level Control Structure,MI01956,Ionia,Not Required,
Lake Lansing Dam,MI01957,Ingham,Not Required,
Long Lake Level Control Structure,MI01958,Iosco,Not Required,
Cranberry Lake Level Control Structure,MI01959,Jackson,Not Required,
Gilletts Lake Level Control Structure,MI01960,Jackson,Not Required,
Farwell & Pinehill Level Control Dam,MI01961,Jackson,Not Required,
Vineyard Lake Level Control Structure,MI01962,Jackson,Not Required,
Limekiln Lake Level Control Structure,MI01963,Kalamazoo,Not Required,
Big Brower Lake Level Control Structure,MI01964,Kent,Not Required,
Big Crooked Lake Level Control Structure,MI01965,Kent,Not Required,
Clear Lake Level Control Structure,MI01966,Kent,Not Required,
Echo Lake Level Control Structure,MI01967,Kent,Not Required,
Five Lakes Level Control Structure,MI01968,Kent,Not Required,
Lincoln Lake Level Control Structure,MI01969,Kent,Not Required,
Little Pine Island Lake Level Control Structure,MI01970,Kent,Not Required,
Pettibone Pond Dam,MI01971,Oakland,Not Required,
Sand Lake Level Control Structure,MI01972,Kent,Not Required,
Cranberry Lake Level Control Structure,MI01973,Clare,Not Required,
Nepessing Lake Level Control Structure,MI01974,Lapeer,Not Required,
Glen Lake Level Control Structure,MI01975,Leelanau,Not Required,
Devils Lake Level Control Structure,MI01976,Lenawee,Not Required,
Dewey Lake Level Control Structure,MI01977,Lenawee,Not Required,
Bass Lake Level Control Structure,MI01978,Livingston,Not Required,
Cedar Lake Level Control Structure,MI01979,Livingston,Not Required,
Lake Chemung Control Structure,MI01980,Livingston,Not Required,
Runyan Lake Level Control Structure,MI01981,Livingston,Not Required,
Monroe Marsh Dam,MI01982,Monroe,Not Required,
Pte Moullee,MI01983,Monroe,Not Required,
Crystal Lake Level Control Structure,MI01984,Montcalm,Not Required,
Duck Lake Level Control Structure,MI01985,Montcalm,Not Required,
Little Whitefish Lake Level Control,MI01986,Montcalm,Not Required,
Pearl Lake Level Control Structure,MI01987,Montcalm,Not Required,
Winfield Lake Level Control Structure,MI01988,Montcalm,Not Required,
Big Whitefish Lake Level Control Structure,MI01989,Montcalm,Not Required,
Avalon Lake Level Control Structure,MI01990,Montmorency,Not Required,
Decheau Lake Level Control Structure,MI01991,Montmorency,Not Required,
Long Lake Level Control Structure,MI01992,Montmorency,Not Required,
Brooks Lake Level Control Structure,MI01993,Newaygo,Not Required,
Fremont Lake Level Control Structure,MI01994,Newaygo,Not Required,
Hess Lake Level Control Structure,MI01995,Newaygo,Not Required,
Newaygo Lake Level Control Structure,MI01996,Newaygo,Not Required,
Long (Ryerson) Lake Level Control Structure,MI01997,Newaygo,Not Required,
Lake Angelus Level Control Structure,MI01998,Oakland,Not Required,
Big Lake Dam,MI01999,Oakland,Not Required,
Eagle Lake Dam,MI02000,Oakland,Not Required,
Fox Lake Dam,MI02001,Oakland,Not Required,
Middle & Lower Straits Dam,MI02002,Oakland,Not Required,
Round Lake Level Control Structure,MI02003,Jackson,Not Required,
Storm Retention Pond Dam,MI02004,Oakland,Not Required,
Tipsico Lake Dam,MI02005,Oakland,Not Required,
Upper Straits Dam,MI02006,Oakland,Not Required,
Sage Lake Dam,MI02007,Ogemaw,Not Required,
Crockery Lake Level Control Structure,MI02008,Ottawa,Not Required,
Emma Lake Level Control Structure,MI02009,Presque Isle,Not Required,
Grand Lake Level Control Structure,MI02010,Presque Isle,Not Required,
Higgins Lake Level Control Structure,MI02011,Roscommon,Not Required,
Houghton Lake Flats North Unit Dam,MI02012,Roscommon,Not Required,
Houghton Lake Flats South Unit Dam,MI02013,Roscommon,Not Required,
Houghton Lake Level Control Structure,MI02014,Roscommon,Not Required,
Corey Lake Level Overflow Structure,MI02015,Saint Joseph,Not Required,
Klinger Lake Level Control Structure,MI02016,Saint Joseph,Not Required,
Pleasant Lake Level Control Structure,MI02017,Saint Joseph,Not Required,
Gulliver Lake Dam,MI02018,Schoolcraft,Not Required,
Brandywine Lake Level Control Structure,MI02019,Van Buren,Not Required,
Briggs Dam,MI02020,Van Buren,Yes,16-Apr-12
Gravel Lake Level Control Structure,MI02021,Van Buren,Not Required,
