DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Weiler Dam No 1,MI00292,Ogemaw,Not Required,
Misch Lake Dam,MI00293,Lapeer,Not Required,
Hemingway Lake Dam,MI00294,Lapeer,Not Required,
Potters Lake Dam,MI00295,Genesee,Not Required,
Lake Ogemaw Dam,MI00296,Ogemaw,Yes,22-Dec-16
Mercedes Lake Dam,MI00297,Jackson,Not Required,
Fisk Dam,MI00298,Ogemaw,Not Required,
Monroe Street Dam,MI00299,Calhoun,Yes,20-Feb-14
Snoblen Dam,MI00300,Lapeer,Not Required,
Thompson Dam,MI00301,Lapeer,Not Required,
Lake Of The Pines Dam,MI00302,Livingston,Not Required,
West Branch Mill Pond Dam,MI00303,Ogemaw,Not Required,
Rose Valley Gun Club Dam,MI00304,Ogemaw,Not Required,
Little John Flooding Dam,MI00305,Mecosta,Not Required,
Third Creek Trout Pond Dam,MI00306,Luce,Not Required,
Faussett Dam,MI00307,Livingston,Not Required,
Traver Creek Retention Dam,MI00308,Washtenaw,Not Required,
McClouds Creek Walleye Pond Dam,MI00309,Mackinac,Not Required,
Marion Dam,MI00310,Osceola,Yes,15-Dec-14
Sackett Ranch Dam,MI00311,Montcalm,Not Required,
Clayton Dam,MI00312,Newaygo,Not Required,
Hidden Lake Dam,MI00313,Macomb,Not Required,
Phipps Lake Dam,MI00314,Oakland,Not Required,
Dixie Lake Dam,MI00315,Oakland,Not Required,
Lake Lure Dam,MI00316,Osceola,Not Required,
Rhoads Dam,MI00317,Oscoda,Not Required,
Bills Dam,MI00318,Oscoda,Not Required,
Hersey Dam,MI00319,Osceola,,
Nartron Dam,MI00320,Osceola,Not Required,
Croswell Dam,MI00321,Sanilac,Not Required,
Davis Dam,MI00322,Oscoda,Not Required,
Springwood Lake #1 Dam,MI00323,Clare,Not Required,
Dexter Dam,MI00324,Washtenaw,Not Required,
Sutton Lake Dam,MI00325,Washtenaw,Not Required,
Pankey Dam,MI00326,Oscoda,Not Required,
Winnewana Dam,MI00327,Washtenaw,Yes,01-Feb-09
Sharon Mills Dam,MI00328,Washtenaw,Not Required,
Hoister Lake Dam,MI00329,Gladwin,Not Required,
Trout Lake Dam,MI00330,Gladwin,Not Required,
Old Fur Farm Dam,MI00331,Clare,Not Required,
Big Bradford Lake Level Control Structure,MI00332,Crawford,Not Required,
Little Platte Lake Control Dam,MI00333,Benzie,Not Required,
Manistique Lake Dam,MI00334,Schoolcraft,Not Required,
Trout Brook Pond Dam,MI00335,Chippewa,Not Required,
Woodland Dam,MI00336,Oscoda,Not Required,
